,Make
16368,CESSNA
16369,CESSNA
16370,PIPER
16371,PIPER
16372,CESSNA
16373,CESSNA
16374,SCHWEIZER
16375,CESSNA
16376,PIPER
16377,CESSNA
16378,BELL
16379,BRITISH AEROSPACE
16380,PIPER
16381,CESSNA
16382,PIPER
16383,CESSNA
16384,CESSNA
16385,HUGHES
16387,PIPER
16388,BEECH
16389,PIPER
16390,BEECH
16391,CESSNA
16392,CESSNA
16393,CESSNA
16394,BEECH
16395,MOORE-VAN
16396,CESSNA
16397,CESSNA
16398,NAVION
16399,BELLANCA
16400,PIPER
16401,BELL
16402,DE HAVILLAND
16403,PIPER
16404,CESSNA
16405,MOONEY
16406,CESSNA
16407,NORTH AMERICAN-MASLON
16408,CESSNA
16409,NORTH AMERICAN
16410,BEECH
16411,MOONEY
16412,CESSNA
16413,PIPER
16414,BEECH
16415,PIPER
16416,PITTS SPECIAL
16417,CESSNA
16418,HILLER
16419,CESSNA
16420,DE HAVILLAND
16421,CESSNA
16422,ROBINSON
16423,MOONEY
16424,PIPER
16425,CESSNA
16426,SCHWEIZER
16427,BEECH
16428,MOONEY
16429,CESSNA
16430,DOUGLAS
16431,BELL
16432,MOONEY
16433,MOONEY
16434,DE HAVILLAND
16435,CESSNA
16436,BELL
16437,PIPER
16438,BELL
16439,GRUMMAN-SCHWEIZER
16440,CESSNA
16441,AERO COMMANDER
16442,CESSNA
16443,CESSNA
16444,BEECH
16445,CESSNA
16446,GRUMMAN
16447,CESSNA
16448,CESSNA
16449,CESSNA
16450,CESSNA
16451,CESSNA
16452,PIPER
16453,CESSNA
16454,PIPER
16455,CESSNA
16456,CESSNA
16457,PIPER
16458,PIPER
16459,PIPER
16460,CESSNA
16461,SIKORSKY
16462,NORTH AMERICAN ROCKWELL CORP.
16463,CESSNA
16464,MOONEY
16465,CESSNA
16466,BEECH
16467,CESSNA
16468,PIPER
16469,MOONEY
16470,CESSNA
16471,HUGHES
16472,CESSNA
16473,CESSNA
16474,PIPER
16475,BEECH
16476,HUGHES
16477,BEECH
16478,PIPER
16479,HUGHES
16480,FAIRCHILD
16481,ENSTROM
16482,CESSNA
16483,CESSNA
16484,PIPER
16485,AERO COMMANDER
16486,CESSNA
16487,LUSCOMBE
16488,SOLEM
16489,PIPER
16490,PIPER
16491,CESSNA
16492,HUGHES
16493,CESSNA
16494,CHRISTEN INDUSTRIES
16495,CESSNA
16496,CESSNA
16497,CESSNA
16498,CESSNA
16499,BOEING
16500,PIPER
16501,AERONCA
16502,SWEARINGEN
16503,CESSNA
16504,CESSNA
16505,BEECH
16506,CESSNA
16507,CESSNA
16508,ROCKWELL
16509,CESSNA
16510,ATR
16511,PIPER
16512,CESSNA
16513,SWEARINGEN
16514,CESSNA
16515,PIPER
16516,CESSNA
16517,CESSNA
16518,MOONEY
16519,PIPER
16520,CESSNA
16521,CESSNA
16522,BEGGS
16523,BEECH
16524,CESSNA
16525,BOEING
16526,CESSNA
16527,CESSNA
16528,PIPER
16529,CHAMPION
16530,CESSNA
16531,PITTS
16532,MAULE
16533,CESSNA
16534,BELLANCA
16535,BOEING
16536,CESSNA
16537,CESSNA
16538,EMBRAER
16539,CESSNA
16540,DOUGLAS
16541,CESSNA
16542,CESSNA
16543,CESSNA
16544,CESSNA
16545,CESSNA
16546,CESSNA
16547,PIPER
16548,CESSNA
16549,BELLANCA
16550,PIPER
16551,CESSNA
16552,CESSNA
16553,PIPER
16554,PIPER
16555,MOONEY
16556,PIPER
16557,PIPER
16558,PIPER
16559,BEECH
16560,PIPER
16561,RAVEN
16562,BEECH
16563,PIPER
16564,PIPER
16565,TAYLORCRAFT
16566,CESSNA
16567,PIPER
16568,BEECH
16569,CESSNA
16570,CESSNA
16571,HUGHES
16572,CESSNA
16573,TAYLORCRAFT
16574,KOSCH
16575,PIPER
16576,CESSNA
16577,PIPER
16578,PIPER
16579,CESSNA
16580,FOKKER
16581,AMERICAN AVIATION CORP. (AAC)
16582,CESSNA
16583,PIPER
16584,CESSNA
16585,MOONEY
16586,CESSNA
16587,CESSNA
16588,CESSNA
16589,NORTH AMERICAN
16590,CESSNA
16591,CESSNA
16592,CESSNA
16593,CESSNA
16594,CESSNA
16595,BOEING
16596,MOONEY
16597,CESSNA
16598,CESSNA
16599,CHAMPION
16600,CESSNA
16601,VARGA
16602,BELLANCA
16603,CESSNA
16604,BELLANCA
16605,CESSNA
16606,CESSNA
16607,CESSNA
16608,BEECH
16609,CESSNA
16610,BOEING
16611,CESSNA
16612,CESSNA
16613,CESSNA
16614,CESSNA
16615,AERO COMMANDER
16616,CESSNA
16617,BELL
16618,CESSNA
16619,CESSNA
16620,CESSNA
16621,DE HAVILLAND
16622,CESSNA
16623,INTERMOUNTAIN MFG. (IMCO)
16624,CHAMPION
16625,MOONEY
16626,"SMITH, TED AEROSTAR"
16627,CESSNA
16628,SWEARINGEN
16629,BEECH
16630,BELLANCA
16631,CESSNA
16632,CESSNA
16633,CESSNA
16634,CESSNA
16635,MOONEY
16636,BEECH
16637,CESSNA
16638,NIHON
16639,AGUSTA
16640,CESSNA
16641,CESSNA
16642,CESSNA
16643,CESSNA
16644,CESSNA
16645,GRUMMAN
16646,MOONEY
16647,SWEARINGEN
16648,CESSNA
16649,PIPER
16650,BEECH
16651,MORRISEY
16652,CESSNA
16653,CESSNA
16654,BEECH
16656,PIPER
16657,MARRONE
16658,CESSNA
16659,PIPER
16660,MAULE
16661,PIPER
16662,ROCKWELL
16663,CESSNA
16664,CESSNA
16665,AMERICAN AEROLIGHTS
16666,HUGHES
16667,CHAMPION
16668,DORNIER
16669,CESSNA
16670,CESSNA
16671,PIPER
16672,MOONEY
16673,PIPER
16674,EMROTH EMAIR
16675,BEECH
16676,PIPER
16677,PIPER
16678,BEECH
16679,CESSNA
16680,BEECH
16681,CESSNA
16682,CESSNA
16683,CESSNA
16684,PIPER
16685,CESSNA
16686,CESSNA
16687,PIPER
16688,EMBRAER
16689,CESSNA
16690,CESSNA
16691,PIPER
16692,CESSNA
16693,BEECH
16694,CESSNA
16695,CESSNA
16696,CESSNA
16697,CESSNA
16698,CESSNA
16699,PIPER
16700,CESSNA
16701,CESSNA
16702,CESSNA
16703,MICHAEL D. MANSFIELD
16704,BOEING
16705,CESSNA
16706,GRUMMAN
16707,CESSNA
16708,CESSNA
16709,CESSNA
16710,CESSNA
16711,CESSNA
16712,CESSNA
16713,MOONEY
16714,CESSNA
16715,BEECH
16716,BRITISH AIRCRAFT CORP. (BAC)
16717,CESSNA
16718,CESSNA
16719,HUGHES
16720,CESSNA
16721,PIPER
16722,CESSNA
16723,CESSNA
16724,CESSNA
16725,CESSNA
16726,CESSNA
16727,CESSNA
16728,PIPER
16729,CESSNA
16730,ENSTROM
16731,CESSNA
16732,ENSTROM
16733,CESSNA
16734,BURKHART GROB
16735,SIKORSKY
16736,SCHWEIZER
16737,CESSNA
16738,PIPER
16739,CESSNA
16740,CHAMPION
16741,CESSNA
16742,CESSNA
16743,PIPER
16744,PIPER
16745,GLASER-DIRKS
16746,CESSNA
16747,AIR COMMAND
16748,CESSNA
16749,PIPER
16750,CESSNA
16751,BELLANCA
16752,LUSCOMBE
16753,BURKHART GROB
16754,CESSNA
16755,PIPER
16756,CESSNA
16757,CESSNA
16758,CESSNA
16759,CESSNA
16760,CESSNA
16761,CESSNA
16762,PIPER
16763,CESSNA
16764,BELL
16765,PIPER
16766,PIPER
16767,CESSNA
16768,BELLANCA
16769,SIKORSKY
16770,SIKORSKY
16771,PIPER
16772,CESSNA
16773,CESSNA
16774,CESSNA
16775,PIPER
16776,LAKE
16777,CESSNA
16778,CESSNA
16779,CHAMPION
16780,STINSON
16781,CESSNA
16782,AERONCA
16783,SWEARINGEN
16785,CESSNA
16786,PIPER
16787,CESSNA
16788,PIPER
16789,CESSNA
16790,CESSNA
16791,PIPER
16792,CESSNA
16793,CESSNA
16794,GRUMMAN AMERICAN
16795,CESSNA
16796,CESSNA
16797,CESSNA
16798,SCHWEIZER
16799,CESSNA
16800,CESSNA
16801,AERONCA
16802,CESSNA
16803,CESSNA
16804,CESSNA
16805,PIPER
16806,BEECH
16807,CESSNA
16808,HUGHES
16809,MOONEY
16810,PIPER
16811,CESSNA
16812,ROBINSON
16813,MOONEY
16814,CESSNA
16815,CESSNA
16816,PIPER
16817,CESSNA
16818,CESSNA
16819,MOONEY
16820,CESSNA
16821,BALLOON WORKS
16822,CESSNA
16823,BOEING
16824,PIPER
16825,AIR TRACTOR
16826,PIPER
16827,CESSNA
16828,BEECH
16829,ROBINSON
16830,CESSNA
16831,CESSNA
16832,CESSNA
16833,CESSNA
16834,GRUMMAN
16835,HUGHES
16836,RICHARD A. BROWN
16837,BOEING
16838,PIPER
16839,CESSNA
16840,CESSNA
16841,PIPER
16842,CESSNA
16843,PIPER
16844,CESSNA
16845,CESSNA
16846,CHAMPION
16847,CESSNA
16848,CESSNA
16849,CESSNA
16850,CESSNA
16851,CESSNA
16852,CESSNA
16853,BEECH
16854,BEECH
16855,PIPER
16856,CESSNA
16857,BEECH
16858,CESSNA
16859,PIPER
16860,HILLER
16861,CESSNA
16862,CESSNA
16863,BELL
16864,CESSNA
16865,CESSNA
16866,CESSNA
16867,CESSNA
16868,PIPER
16869,CESSNA
16870,HUGHES
16871,PIPER
16872,CESSNA
16873,CESSNA
16874,CESSNA
16875,CESSNA
16876,CESSNA
16877,PIPER
16878,BEECH
16879,PIPER
16880,CESSNA
16881,CESSNA
16882,PIPER
16883,PIPER
16884,CESSNA
16885,PIPER
16886,CESSNA
16887,RAVEN
16888,PIPER
16889,MOONEY
16890,BOEING
16891,BELL
16892,CESSNA
16893,BEECH
16894,BELL
16895,PIPER
16896,CESSNA
16897,PIPER
16898,EAGLE AIRCRAFT CO.
16899,PIPER
16900,BOEING
16901,BOEING
16902,CESSNA
16903,BEECH
16904,ROCKWELL
16905,CESSNA
16906,CESSNA
16907,BOEING
16908,BELLANCA
16909,ERCOUPE (ENG & RESEARCH CORP.)
16910,CESSNA
16911,GATES LEARJET
16912,CESSNA
16913,CESSNA
16914,CHAMPION
16915,BRITISH AEROSPACE
16916,GREAT LAKES
16917,CESSNA
16918,CESSNA
16919,CESSNA
16920,CONSOLIDATED AERONAUTICS INC.
16921,BEECH
16922,PIPER
16923,BEECH
16924,MAULE
16925,CESSNA
16926,CESSNA
16927,GRUMMAN
16928,CESSNA
16929,STRISSEL
16930,CESSNA
16931,BEECH
16932,PIPER
16933,CHAMPION
16934,MOONEY
16935,CASA
16936,CESSNA
16937,PIPER
16938,PIPER
16939,GRUMMAN AMERICAN
16940,CESSNA
16941,CESSNA
16942,CESSNA
16943,PIPER
16944,BALLOON WORKS
16945,CHAMPION
16946,PIPER
16947,EMBRAER
16948,BELLANCA
16949,CESSNA
16950,CESSNA
16951,CESSNA
16952,PIPER
16953,BEECH
16954,CESSNA
16955,CESSNA
16956,ROCKWELL
16957,CESSNA
16958,CESSNA
16959,BOEING
16960,RAVEN
16961,BEECH
16962,CESSNA
16963,SCHLEICHER
16964,PIPER
16965,CESSNA
16966,BELL
16967,MCDONNELL DOUGLAS
16968,PRUE STANDARD
16969,BEECH
16970,CESSNA
16971,CESSNA
16972,BEECH
16973,CESSNA
16974,PIPER
16975,HILLER
16976,AMERICAN
16977,PIPER
16978,MOONEY
16979,RESNEY
16980,CESSNA
16981,DE HAVILLAND
16982,SAAB-FAIRCHILD
16983,CESSNA
16984,PIPER
16985,BOEING
16986,CESSNA
16987,HUGHES
16988,CESSNA
16989,GRUMMAN
16990,BOEING
16991,SWEARINGEN
16994,CESSNA
16995,PIPER
16996,CESSNA
16997,ROCKWELL
16998,HUGHES
16999,STINSON
17000,PIPER
17001,PIPER
17002,BEECH
17003,PIPER
17004,CESSNA
17005,CESSNA
17006,CESSNA
17007,CESSNA
17008,CESSNA
17009,NORTH AMERICAN
17010,CESSNA
17011,CESSNA
17012,BOEING
17013,CESSNA
17014,LET
17015,PIPER
17016,CESSNA
17017,AIR TRACTOR
17018,ROTORWAY
17019,CESSNA
17020,PIPER
17021,PIPER
17022,CESSNA
17023,BEECH
17024,CESSNA
17025,ROBINSON
17026,BOEING
17027,KENNY DEWARD
17028,CESSNA
17029,CESSNA
17030,PIPER
17031,CESSNA
17032,STINSON
17033,HUGHES
17034,PIPER
17035,BELL
17036,CESSNA
17037,PIPER
17038,BELLANCA
17039,CESSNA
17040,CESSNA
17041,PIPER
17042,SWEARINGEN
17043,BELL
17044,BALLOON WORKS
17045,BOEING
17046,GRUMMAN
17047,MCDONNELL DOUGLAS
17048,CESSNA
17049,CESSNA
17050,CESSNA
17051,BELL
17052,PIPER
17053,PIPER
17054,PIPER
17055,CESSNA
17056,MOONEY
17057,BEECH
17058,CESSNA
17059,GLASAIR
17060,RAVEN
17061,BARLOW
17062,CESSNA
17063,CESSNA
17064,BELL
17065,LUSCOMBE
17066,PIPER
17067,CESSNA
17068,EAGLE BALLOONS
17069,BELL
17070,AIR TRACTOR
17071,CESSNA
17072,SCHWEIZER
17073,CHAMPION
17074,ERCOUPE (ENG & RESEARCH CORP.)
17075,BEECH
17076,CULVER
17077,MCDONNELL DOUGLAS
17078,PIPER
17079,CESSNA
17080,CESSNA
17081,BEECH
17082,CONVAIR
17083,AERO MIRAGE
17084,CESSNA
17085,MCDONNELL DOUGLAS
17086,BELLANCA
17087,CESSNA
17088,MCDONNELL DOUGLAS
17089,PIPER
17090,MOONEY
17091,MOONEY
17092,PIPER
17093,CESSNA
17094,PIPER
17095,BALLOON WORKS
17096,THORP
17097,LEARJET
17098,DE HAVILLAND
17099,BEECH
17100,PIPER
17101,GRUMMAN
17102,BELLANCA
17103,PIPER
17104,PIPER
17105,AERONCA
17107,PIPER
17108,SCHWEIZER
17109,PIPER
17110,CESSNA
17111,CESSNA
17112,CESSNA
17113,CESSNA
17114,JONES
17115,BENSON
17116,CESSNA
17117,PIPER
17118,REPLICA
17119,CESSNA
17120,AERONCA
17121,BELL
17122,CESSNA
17123,AIRBUS INDUSTRIE
17124,ROCKWELL
17125,PIPER
17126,AGUSTA
17127,PIPER
17128,BEECH
17129,CESSNA
17130,PITTS SPECIAL
17131,CESSNA
17132,PIPER
17133,CESSNA
17134,DASSAULT-BREGUET
17135,CESSNA
17136,CESSNA
17137,BEECH
17138,BOWERS
17139,PIPER
17140,BOEING
17141,CESSNA
17142,GRUMMAN-SCHWEIZER
17143,CESSNA
17144,CESSNA
17145,CESSNA
17146,PIPER
17147,ERCOUPE (ENG & RESEARCH CORP.)
17148,CESSNA
17149,CESSNA
17150,CHAMPION
17151,PIPER
17152,PIPER
17153,CESSNA
17154,CESSNA
17155,NORTH AMERICAN
17156,EAGLE AIRCRAFT CO.
17157,PIPER
17158,HUGHES
17159,CHAMPION
17160,PIPER
17161,PIPER
17162,MOONEY
17163,CESSNA
17164,PIPER
17165,NORTH AMERICAN
17166,CESSNA
17167,NORTH AMERICAN
17168,HILLER
17169,CESSNA
17170,MOONEY
17171,PIPER
17172,CESSNA
17173,BEECH
17174,BALLOON WORKS
17175,CESSNA
17176,BOEING
17177,CESSNA
17178,PIPER
17179,ERCOUPE (ENG & RESEARCH CORP.)
17180,CESSNA
17181,CESSNA
17182,BALLOON WORKS
17183,AERONCA
17184,VERBEEK
17185,ERCOUPE (ENG & RESEARCH CORP.)
17186,BELLANCA
17187,STINSON
17188,PIPER
17189,AIR TRACTOR
17190,AIR & SPACE
17191,PIPER
17192,PIPER
17193,GRUMMAN
17194,CESSNA
17195,AERO COMMANDER
17196,CESSNA
17197,BEECH
17198,FAIRCHILD
17199,CESSNA
17200,BELLANCA
17201,BOEING
17202,ERICKSON
17203,CESSNA
17204,CESSNA
17205,LOCKHEED
17206,DE HAVILLAND
17207,PIPER
17208,GRUMMAN
17209,LOCKHEED
17210,CESSNA
17211,CESSNA
17212,PIPER
17213,CESSNA
17214,PIPER
17215,CESSNA
17216,CESSNA
17217,CESSNA
17218,SPRAGUE
17219,NIHON
17220,BEECH
17221,CESSNA
17222,PIPER
17223,CESSNA
17224,PIPER
17225,PIPER
17226,PIPER
17227,DE HAVILLAND
17228,CESSNA
17229,CESSNA
17230,DAVIS
17231,HUGHES
17232,CESSNA
17233,HUGHES
17234,CESSNA
17235,HUGHES
17236,CESSNA
17237,BELL
17238,CESSNA
17239,LAKE
17240,CESSNA
17241,GRUMMAN
17242,CESSNA
17243,AERONCA
17244,ROBINSON
17245,BEECH
17246,PIPER
17247,BEECH
17248,CESSNA
17249,BOEING
17250,CESSNA
17251,CESSNA
17252,CESSNA
17253,PIPER
17254,BELLANCA
17255,BELL
17256,BELL
17257,CESSNA
17258,CESSNA
17259,MAULE
17260,CESSNA
17261,MCLACHLAN
17262,PIPER
17263,BELL
17264,CESSNA
17265,CESSNA
17266,PIPER
17267,GRUMMAN
17268,BOEING
17269,"SMITH, TED AEROSTAR"
17270,PIPER
17271,BEECH
17272,PIPER
17273,PIPER
17274,CESSNA
17275,CESSNA
17276,AIRCOUPE
17277,AERO COMMANDER
17278,PIPER
17279,CESSNA
17280,SCHLEICHER
17281,PIPER
17282,GRUMMAN
17283,HUNTER
17284,CESSNA
17285,BEDE AIRCRAFT
17286,BELL
17287,CESSNA
17288,GRUMMAN
17289,PIPER
17290,DEVORE SUNBIRD
17291,CESSNA
17292,PIPER
17293,CESSNA
17294,BELL
17295,CREMER
17296,PIPER
17297,AERONCA
17298,PIPER
17299,CESSNA
17300,PIPER
17301,CESSNA
17302,PIPER
17303,SHORT BROTHERS
17304,CESSNA
17305,JAGGER
17306,NAVION
17307,BELL
17308,CESSNA
17309,PIPER
17310,BELL
17311,THORP
17312,CESSNA
17313,CESSNA
17314,CESSNA
17315,CESSNA
17316,PIPER
17317,CESSNA
17318,DORNIER
17319,PIPER
17320,BELL
17321,CESSNA
17322,BELL
17323,CESSNA
17324,BEECH
17325,CESSNA
17326,CESSNA
17327,PIPER
17328,BEECH
17329,CESSNA
17330,SCHWEIZER
17331,BEECH
17332,AIR TRACTOR
17333,TAYLORCRAFT
17334,AIR TRACTOR
17335,CESSNA
17336,BEECH
17337,CESSNA
17338,BELL
17339,MCLANE
17340,SWEARINGEN
17341,CESSNA
17342,EAGLE AIRCRAFT CO.
17343,CESSNA
17344,CESSNA
17345,SIKORSKY
17346,CESSNA
17347,CESSNA
17348,CESSNA
17349,AERO COMMANDER
17350,FORNEY
17351,ROCKWELL
17352,TAYLORCRAFT
17353,CESSNA
17354,CESSNA
17355,CHAMPION
17356,BEECH
17357,PIPER
17358,NORTH AMERICAN
17359,GRUMMAN
17360,PIPER
17361,STINSON
17362,CESSNA
17363,PIPER
17364,CESSNA
17365,BELL
17366,FRIMELT WERNER MONI
17367,BELL
17368,CESSNA
17369,SPARTAN
17370,CESSNA
17371,HUGHES
17372,PIPER
17373,CESSNA
17374,CESSNA
17375,CESSNA
17376,CESSNA
17377,PIPER
17378,ROBINSON
17379,PIPER
17380,PIPER
17381,CESSNA
17382,PIPER
17383,BEECH
17384,AERO COMMANDER
17385,PIPER
17386,BEECH
17387,CESSNA
17388,PIPER
17389,PIPER
17390,CANADAIR
17391,ROTORWAY
17392,AERONCA
17393,SCHWEIZER
17394,LAW
17395,PIPER
17396,BEECH
17397,CESSNA
17398,BEECH
17399,MAULE
17400,CESSNA
17401,GRUMMAN
17402,PIPER
17403,HUGHES
17404,CESSNA
17405,CESSNA
17406,CESSNA
17407,CESSNA
17408,ROBINSON
17409,PIPER
17410,GRUMMAN
17411,BEECH
17412,BEECH
17413,CESSNA
17414,BEECH
17415,MOONEY
17416,BOEING
17417,WEATHERLY
17418,PIPER
17419,JOHNSON
17420,CESSNA
17421,ENSTROM
17422,CESSNA
17423,CESSNA
17424,NORTH AMERICAN
17425,CESSNA
17426,STEARMAN
17427,CESSNA
17428,BOEING
17429,PIPER
17430,CESSNA
17431,FOKKER
17432,PIPER
17433,CESSNA
17434,CESSNA
17435,PIPER
17436,BOEING
17437,BEECH
17438,ROBINSON
17439,AERONCA
17440,PIPER
17441,CESSNA
17442,PIPER
17443,CESSNA
17444,LAKE
17445,DOUGLAS
17446,BELL
17447,BELL
17448,CESSNA
17449,CESSNA
17450,AYRES
17451,CESSNA
17452,CESSNA
17453,CESSNA
17454,PIPER
17455,CESSNA
17456,BEECH
17457,CESSNA
17458,WOEHRLE
17459,CESSNA
17460,BEECH
17461,PIPER
17462,RUTAN
17463,ENSTROM
17464,AYRES
17465,PIK
17466,BEECH
17467,GRUMMAN
17468,BEAUSOLEIL
17469,BELL
17470,AYRES
17471,MOSS TIMOTHY C
17472,PIPER
17474,CESSNA
17475,BELL
17476,STINSON
17477,MOONEY
17478,CHAMPION
17479,NORTH AMERICAN
17480,CESSNA
17481,BEECH
17482,BEECH
17483,GRUMMAN
17484,CESSNA
17485,CHANCE VOUGHT
17486,PIPER
17487,PIPER
17488,CESSNA
17489,PIPER
17490,CESSNA
17491,CESSNA
17492,CESSNA
17493,TEXAS HELICOPTER
17494,CESSNA
17495,LEARJET
17496,CESSNA
17497,CESSNA
17498,BEECH
17499,AEROSPATIALE
17500,PIPER
17501,CESSNA
17502,CESSNA
17503,FAIRCHILD
17504,BRANTLY HELICOPTER
17505,PIPER
17506,BELL
17507,CESSNA
17508,CESSNA
17509,CESSNA
17510,CESSNA
17511,AIR COMMAND
17512,CESSNA
17513,CESSNA
17514,PIPER
17515,CESSNA
17516,CESSNA
17517,CESSNA
17518,CESSNA
17519,PIPER
17520,CESSNA
17521,CESSNA
17522,CESSNA
17523,CESSNA
17524,CESSNA
17525,CESSNA
17526,CESSNA
17527,CESSNA
17528,CESSNA
17529,CESSNA
17530,CESSNA
17531,PIPER
17532,MOONEY
17533,PIPER
17534,AERONCA
17535,PIPER
17536,NOONAN
17537,CESSNA
17538,GREAT LAKES
17539,PIPER
17540,MOONEY
17541,LAKE
17542,CESSNA
17543,CESSNA
17544,GRUMMAN
17545,CESSNA
17546,CESSNA
17547,SCHWEIZER
17548,HILLER
17549,BEECH
17550,AIR & SPACE
17551,PIPER
17552,PIPER
17553,MEYER
17554,CESSNA
17555,BELL
17556,PIPER
17557,CESSNA
17558,CESSNA
17559,JAUCH
17560,GRUMMAN
17561,AYRES
17562,CESSNA
17563,NORTHROP
17564,CESSNA
17565,PIPER
17566,CESSNA
17567,GRUMMAN
17568,BOEING
17569,PIPER
17570,AIR TRACTOR
17571,PIPER
17572,CESSNA
17573,STINSON
17574,HUFFMAN
17575,PIPER
17576,CESSNA
17577,NORTH AMERICAN
17578,PIPER
17579,CESSNA
17580,MONI
17581,NORTH AMERICAN
17582,CESSNA
17583,CONSOLIDATED AERONAUTICS INC.
17584,BUTLER
17585,CESSNA
17586,HILLER
17587,AERO COMMANDER
17588,PIPER
17589,NORTH AMERICAN
17590,CESSNA
17591,PIPER
17592,TAYLORCRAFT
17593,ROCKWELL
17594,PIPER
17595,CESSNA
17596,PIPER
17597,CESSNA
17598,MOONEY
17599,QUICKIE
17600,PIPER
17601,CESSNA
17602,SOCATA
17603,BRITISH AEROSPACE
17604,PIPER
17605,GRUMMAN
17606,CESSNA
17607,PIPER
17608,CESSNA
17609,BEECH
17610,CESSNA
17611,PIPER
17612,CESSNA
17613,PIPER
17614,BEECH
17615,HUGHES
17616,HILLER
17617,AYRES
17618,CESSNA
17619,BOEING
17620,MCDONNELL DOUGLAS
17621,CESSNA
17622,BEECH
17623,CESSNA
17624,SCHLEICHER
17625,AYRES
17626,CESSNA
17627,CESSNA
17628,CESSNA
17629,SCHWEIZER
17630,RYAN
17631,PIPER
17632,PIPER
17633,CESSNA
17634,PIPER
17635,CESSNA
17636,HAM
17637,CESSNA
17638,CESSNA
17639,PIPER
17640,BELLANCA
17641,BOEING
17642,AIRCOUPE
17643,AERODYNAMICS .
17644,PIPER
17645,LET
17646,CESSNA
17647,NORTH AMERICAN
17648,CESSNA
17649,AYRES
17650,GRUMMAN
17651,CESSNA
17652,CESSNA
17653,CESSNA
17654,CESSNA
17655,BELL
17656,BOEING
17657,BOEING
17658,AYRES
17659,PIPER
17660,HUGHES
17661,CESSNA
17662,ROBINSON
17663,PIPER
17664,CESSNA
17665,BELL
17666,CESSNA
17667,NORTH AMERICAN
17668,CESSNA
17669,CESSNA
17670,BELL
17671,BEECH
17672,DOUGLAS
17673,CESSNA
17674,ZANK
17675,BEECH
17676,GASTON/LAKES
17677,SCHLEICHER
17678,AERONCA
17679,CESSNA
17680,PIPER
17681,BELL
17682,CESSNA
17683,BELL
17684,BEECH
17685,GRUMMAN
17686,PIPER
17687,BEECH
17688,CESSNA
17689,NIHON
17690,EAGLE AIRCRAFT CO.
17691,GRUMMAN
17692,MCDONNELL DOUGLAS
17693,PICCARD
17694,PIPER
17695,BUSHBY
17696,BELLANCA
17697,CESSNA
17698,CESSNA
17699,CESSNA
17700,GRUMMAN
17701,ROCKWELL
17702,CESSNA
17703,LAKE
17704,BALLOON WORKS
17705,SCHWEIZER
17706,MBB
17707,GRUMMAN AMERICAN
17708,GLOBE
17709,PIPER
17710,PIPER
17711,CESSNA
17712,BEECH
17713,CESSNA
17714,MOONEY
17715,CESSNA
17716,MOONEY
17717,LUSCOMBE
17718,CESSNA
17719,MAULE
17720,CESSNA
17721,DE HAVILLAND
17722,CESSNA
17723,CESSNA
17724,TAYLORCRAFT
17725,GRUMMAN
17726,PIPER
17727,CESSNA
17728,BEECH
17729,BEECH
17730,PIPER
17731,BOEING
17732,CESSNA
17733,CESSNA
17734,PIPER
17735,HILLER
17736,PIPER
17737,DE HAVILLAND
17738,PIPER
17739,PIPER
17740,GRUMMAN
17741,GRECO BRUNO
17742,BELL
17743,BELL
17744,BOEING
17745,CESSNA
17746,CESSNA
17747,CESSNA
17748,DE HAVILLAND
17749,BELL
17750,TAYLORCRAFT
17751,CESSNA
17752,CESSNA
17753,CESSNA
17754,CESSNA
17755,CESSNA
17756,CESSNA
17757,PIPER
17758,CESSNA
17759,BEECH
17760,DORNIER
17761,PIPER
17762,ROBINSON
17763,ERCOUPE (ENG & RESEARCH CORP.)
17764,TAYLORCRAFT
17765,CESSNA
17766,BEECH
17767,BANNWART
17768,BELL
17769,CESSNA
17770,PIPER
17771,MOONEY
17772,PIPER
17773,SCHWEIZER
17774,TAYLORCRAFT
17775,PIPER
17776,PIPER
17777,CESSNA
17778,GREAT LAKES
17779,CESSNA
17780,PIPER
17781,CESSNA
17782,KENNEDY
17783,CESSNA
17784,AERO COMMANDER
17785,CESSNA
17786,PIPER
17787,CESSNA
17788,PIPER
17789,PIPER
17790,CESSNA
17791,GRUMMAN AMERICAN
17792,CESSNA
17793,CESSNA
17794,BEECH
17795,PIPER
17796,CESSNA
17797,BELL
17798,CESSNA
17799,CESSNA
17800,CONCEPT
17801,HUGHES
17802,CESSNA
17803,DENNEY
17804,MOONEY
17805,BELLANCA
17806,BOEING
17807,BOEING
17808,BOEING
17809,PIPER
17810,MITSUBISHI
17811,CESSNA
17812,GRUMMAN
17813,CESSNA
17814,GRUMMAN
17815,PIPER
17816,LUSCOMBE
17817,DE HAVILLAND
17818,BOEING
17819,CESSNA
17820,SCHWEIZER
17821,BEECH
17822,TALBOTT
17823,CESSNA
17824,CESSNA
17825,MOONEY
17826,TAYLORCRAFT
17827,PIPER
17828,DE HAVILLAND
17829,BEECH
17830,CESSNA
17831,CESSNA
17832,STRIPLIN
17833,MAULE
17834,CESSNA
17835,CESSNA
17836,BELL
17837,CESSNA
17838,CESSNA
17839,HILLER
17840,STINSON
17841,CESSNA
17842,MAULE
17843,ROCKWELL
17844,PIPER
17845,MCENTEE
17846,PIPER
17847,CESSNA
17848,CESSNA
17849,CESSNA
17850,CESSNA
17851,GRUMMAN
17852,CESSNA
17853,CESSNA
17854,PIPER
17855,NAVION
17856,NORD (SNCAN)
17857,PIPER
17858,BELL
